crate_name,cvss_score
abi_stable,7.5
abox,8.1
actix-codec,9.8
actix-http,7.5
actix-service,5.5
actix-utils,9.1
adtensor,9.8
alg_ds,9.8
aliyun-oss-client,5.6
alpm-rs,9.8
ammonia,7.5
aovec,7.0
appendix,5.9
arc-swap,7.5
arenavec,7.5
array-queue,5.5
array-tools,9.8
arrayfire,9.8
asn1_der,7.5
async-coap,8.1
async-graphql,7.5
atom,4.7
atomic-option,5.9
autorand,7.8
av-data,7.5
bam,9.8
base64,9.8
basic_dsp_matrix,7.5
bat,7.8
bcder,7.5
beef,8.1
bigint,9.8
bitvec,9.8
blake2,9.8
blurhash,8.6
bra,9.1
branca,5.5
bumpalo,7.5
bunch,8.1
buttplug,5.9
byte_struct,9.8
cache,8.1
calamine,9.8
candid,7.5
cbox,9.8
cdr,9.8
cgc,5.9
chacha20,7.5
chttp,9.8
chunky,7.5
claxon,6.5
cocoon,4.5
compact_arena,9.8
comrak,6.1
concread,4.7
conduit-hyper,7.5
conquer-once,7.8
conqueue,8.1
containers,9.8
convec,8.1
cookie,7.5
cranelift-codegen,8.8
crayon,8.1
crossbeam,9.8
crossbeam-deque,9.8
dces,8.1
diesel,9.8
disrustor,5.9
dync,5.5
endian_trait,7.5
eventio,5.9
evm,7.5
failure,9.8
fil-ocl,7.5
flatbuffers,9.8
futures-intrusive,5.5
futures-task,7.8
futures-util,5.5
generator,7.5
generic-array,7.5
gfwx,7.0
git-delta,7.8
gitoxide-core,2.5
gix-features,6.8
gix-fs,8.8
gix-index,8.8
gix-path,6.8
gix-ref,5.4
gix-worktree,8.8
gix-worktree-state,5.0
glsl-layout,7.5
grep-cli,9.8
hashconsing,7.5
heapless,7.5
http,9.8
hyper,9.8
ic-cdk,7.5
ic-stable-structures,5.9
im,4.7
image,9.8
insert_many,7.5
internment,9.8
juniper,7.5
kamadak-exif,6.5
kekbit,8.1
late-static,7.0
lazy-init,5.3
lettre,5.3
lever,8.1
lexer,8.1
libflate,9.8
libgit2-sys,8.6
libp2p,7.5
libp2p-core,7.5
libp2p-deflate,9.8
libpulse-binding,6.5
libsbc,8.1
libsecp256k1,7.5
libsecp256k1-rs,5.9
libsqlite3-sys,7.5
linea,9.8
linked-hash-map,9.8
linked_list_allocator,8.4
lucet-runtime-internals,9.1
lz4-sys,9.8
magnetic,5.5
marc,7.5
matrix-sdk-crypto,7.5
max7301,5.9
may_queue,5.9
mdbook,6.1
memoffset,7.5
mio,5.5
miow,5.5
model,8.1
mozwire,9.1
ms3d,7.5
multihash,7.5
multiqueue,8.1
multiqueue2,5.9
nano-id,9.4
nano_arena,9.8
nanorand,5.1
nb-connect,9.8
net2,5.5
noise_search,8.1
object_store,3.8
obstack,7.5
once_cell,7.5
openssl,9.8
openssl-src,9.8
ordered-float,5.5
ordnung,7.5
orion,7.5
os_str_bytes,7.5
outer_cgi,9.8
ozone,9.8
pancurses,7.5
parc,8.1
parse_duration,7.5
phonenumber,8.6
pleaser,7.8
pnet,6.0
pnet_packet,6.0
portaudio,5.9
portaudio-rs,9.8
postscript,7.5
pqc_kyber,7.4
prost,9.8
protobuf,7.5
pyo3,5.5
quinn,7.5
quinn-proto,7.5
qwutils,5.3
rand_core,9.8
rcu_cell,8.1
reffers,4.7
regex,7.5
renderdoc,9.8
reorder,7.3
rgb,9.1
rio,9.8
rkyv,7.5
rocket,8.1
rsa,5.9
rulinalg,9.8
rusb,7.0
ruspiro-singleton,8.1
rustls,7.5
rustls-webpki,7.5
safe-transmute,9.8
scottqueue,8.1
scratchpad,9.8
security-framework,5.3
serde_cbor,7.5
signal-simple,8.1
simd-json,7.5
sized-chunks,7.5
slack-morphism,7.5
slice-deque,9.8
slock,8.1
smallvec,9.8
socket2,5.5
sodiumoxide,9.8
spin,7.5
stack,9.8
stack_dst,9.8
stackvector,7.3
string-interner,7.5
sudo-rs,3.1
syncpool,8.1
sys-info,9.8
tar,7.5
tauri,5.8
telemetry,9.8
thex,5.5
through,9.8
ticketed_lock,8.1
time,6.2
tiny_future,8.1
tiny_http,6.5
tls-listener,7.5
tokio-rustls,7.5
toolshed,8.1
totp-rs,4.2
tough,8.6
traitobject,9.8
truetype,7.5
trust-dns-proto,7.5
trust-dns-server,7.5
try-mutex,5.5
tungstenite,7.5
unicycle,8.1
untrusted,7.5
uu_od,7.3
v9,8.1
va-ts,5.9
versionize,5.7
vm-memory,7.5
vmm-sys-util,5.7
wasmtime,9.9
webpki,7.5
ws,7.5
xcb,5.5
yaml-rust,7.5
yottadb,9.8
zlib-rs,5.3
