repo,季均代码参与者数量,季均代码贡献者数量,日均代码提交数量,季均代码提交关联PR的比率,季均PR关联issue的比率,日均PR创建数量,季均代码审查比率,季均代码合并比率,日均提交代码行数,proj_id,季均bug类issue处理时间平均数,季均bug类issue处理时间中位数,日均关闭PR数量,季均issue评论频率,季均issue首次响应时间平均数,季均issue首次响应时间中位数,季均PR处理时间平均数,季均PR处理时间中位数,日均更新issue数量,季均代码审查评论频率,季均最近版本发布次数,季均组织数量,季均组织贡献者数量,日均组织代码提交次数,季均组织持续贡献时间,季均观察贡献者数量,日均观察者贡献次数,季均issue贡献者数量,日均issue贡献次数,日均代码贡献次数,季均个人贡献者数量,日均个人贡献次数,季均访客贡献者数量,日均访客贡献次数,季均常客贡献者数量,日均常客贡献次数,季均核心贡献者数量,日均核心贡献次数
https://github.com/apache/incubator-opendal,56.15384615,36.30769231,1.915594133,0.996541846,0,2.28034188,0.289207316,0.671836709,705.5287125,gitee:apache/incubator-opendal,77.51245385,88.11692308,2.223076923,1.662553846,83.78876923,89.68730769,86.17383846,89.76769231,1.323931624,4.750758577,16,15.84615385,16.07692308,1.094625275,40.92307692,381.6153846,4.376068376,59.30769231,5.304273504,14.87264957,296.3076923,7.826495726,432.0769231,8.202564103,8.692307692,5.508547009,1.461538462,10.8034188
https://github.com/mahkoh/uapi,0,0,0,0,0,0,0,0,0,gitee:mahkoh/uapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692307692,0.007692308,0,0,0,0.692307692,0.007692308,0,0,0,0,0.692307692,0
https://github.com/alusch/flipdot,0.384615385,0.384615385,0.015393167,0,0,0,0,0,0.249711378,gitee:alusch/flipdot,0,0,0,0,0,0,0,0,0.005128205,0,1.615384615,0,0,0,0,1.230769231,0.013675214,0.461538462,0.005128205,0.011965812,1.307692308,0.023076923,1,0.011111111,0,0,1,0.017094017
https://github.com/frankmcsherry/graph-map,0,0,0,0,0,0,0,0,0,gitee:frankmcsherry/graph-map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alvra/web-lang,0,0,0,0,0,0,0,0,0,gitee:alvra/web-lang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615,0.006837607,0,0,0,0.615384615,0.006837607,0,0,0,0,0.615384615,0
https://github.com/jase-k/blockchain-types,0,0,0,0,0,0,0,0,0,gitee:jase-k/blockchain-types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/ankane/cargo-3pl,0.384615385,0.384615385,0.00855176,0,0,0,0,0,0.621712917,gitee:ankane/cargo-3pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008547009,0.384615385,0.008547009,0,0,0,0,0.384615385,0.008547009
https://github.com/CQCL/portgraph,7,5.538461538,0.455808783,0.816376931,0.117030223,0.198290598,0.286146031,0.362264636,17886.22055,gitee:CQCL/portgraph,89.96,89.96,0.193162393,0.051092308,83.98,83.98,81.27686923,88.70192308,0.122222222,4.407051282,5.307692308,1.692307692,3.538461538,0.382262637,4.307692308,1.384615385,0.01965812,2.692307692,0.22991453,1.31965812,2.230769231,0.15982906,3.615384615,0.184615385,1.153846154,0.284615385,1.538461538,1.1
https://github.com/antoninhrlt/lingo,0,0,0,0,0,0,0,0,0,gitee:antoninhrlt/lingo,0,0,0.002564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/MostroP2P/mostro-cli,4,2.461538462,0.721768504,0.924812466,0,0.248717949,0.036250746,0.136206254,56.92906315,gitee:MostroP2P/mostro-cli,70.22359231,79.28153846,0.248717949,0.360253846,85.01692308,85.01692308,89.23294615,89.99115385,0.055555556,0.06958106,6.384615385,0,0,0,0,6.230769231,0.069230769,3.384615385,0.25042735,1.335042735,9.230769231,1.654700855,8,0.302564103,0.230769231,0.048717949,1,1.303418803
https://github.com/Andrew-OHara/aoutils,0,0,0,0,0,0,0,0,0,gitee:Andrew-OHara/aoutils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/andrew-johnson-4/rdxl_atom,0,0,0,0,0,0,0,0,0,gitee:andrew-johnson-4/rdxl_atom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/dfrankland/pixelmatch-rs,0,0,0,0,0,0,0,0,0,gitee:dfrankland/pixelmatch-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/2000Slash/libtetris,0,0,0,0,0,0,0,0,0,gitee:2000Slash/libtetris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/DoumanAsh/rusty-cute-macros,0,0,0,0,0,0,0,0,0,gitee:DoumanAsh/rusty-cute-macros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/harababurel/telereads,0,0,0,0,0,0,0,0,0,gitee:harababurel/telereads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/akito19/guessing_game,0,0,0,0,0,0,0,0,0,gitee:akito19/guessing_game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/andete/quick_atom,0,0,0,0,0,0,0,0,0,gitee:andete/quick_atom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/gnostr-org/gnostr-legit,0,0,0,0,0,0,0,0,0,gitee:gnostr-org/gnostr-legit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/All8Up/jolt-sys,0,0,0,0,0,0,0,0,0,gitee:All8Up/jolt-sys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0.004273504,0,0,0,0.384615385,0.004273504,0,0,0,0,0.384615385,0
https://github.com/01protocol/zo-abi,0,0,0,0,0,0,0,0,0,gitee:01protocol/zo-abi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/Goxoy/goxoy-key-value,0,0,0,0,0,0,0,0,0,gitee:Goxoy/goxoy-key-value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/martin-olivier/vangelis,1,1,0.011117287,1,0,0.011111111,0,0,0.177876598,gitee:martin-olivier/vangelis,0,0,0.011111111,0,0,0,90,90,0,0,0,1,1,0.011114286,2,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/DeterminateSystems/nix-installer,11,7,0.667037243,0.933333333,0,0.611111111,0.272727273,0.333333333,124.3246248,gitee:DeterminateSystems/nix-installer,0,0,0.611111111,1.0769,87.9179,89.13,88.4213,89.93,1.333333333,2.5,31,5,5,0.500271429,14,320,3.577777778,104,4.466666667,4.333333333,278,5.266666667,408,5.3,15,2.566666667,1,4.5
https://github.com/EmbarkStudios/cargo-about,1,1,0.074400308,0.653846154,0,0.054700855,0,0,12.48300338,gitee:EmbarkStudios/cargo-about,87.32256923,89.76269231,0.054700855,0.694869231,89.00204615,89.92384615,89.97626154,89.98346154,0.1,0,5.769230769,1,1,0.074401099,2.153846154,21,0.233333333,6.230769231,0.22991453,0.192307692,17,0.201709402,24.23076923,0.299145299,1.307692308,0.029059829,1.461538462,0.327350427
